Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,970.429993,975.039978,965.729980,975.039978,975.039978,366730000
1998-01-05,975.039978,982.630005,969.000000,977.070007,977.070007,628070000
1998-01-06,977.070007,977.070007,962.679993,966.580017,966.580017,618360000
1998-01-07,966.580017,966.580017,952.669983,964.000000,964.000000,667390000
1998-01-08,964.000000,964.000000,955.039978,956.049988,956.049988,652140000
1998-01-09,956.049988,956.049988,921.719971,927.690002,927.690002,746420000
1998-01-12,927.690002,939.250000,912.830017,939.210022,939.210022,705450000
1998-01-13,939.210022,952.140015,939.210022,952.119995,952.119995,646740000
1998-01-14,952.119995,958.119995,948.000000,957.940002,957.940002,603280000
1998-01-15,957.940002,957.940002,950.270020,950.729980,950.729980,569050000
1998-01-16,950.729980,965.119995,950.729980,961.510010,961.510010,670080000
1998-01-20,961.510010,978.599976,961.479980,978.599976,978.599976,644790000
1998-01-21,978.599976,978.599976,963.289978,970.809998,970.809998,626160000
1998-01-22,970.809998,970.809998,959.489990,963.039978,963.039978,646570000
1998-01-23,963.039978,966.440002,950.859985,957.590027,957.590027,635770000
1998-01-26,957.590027,963.039978,954.239990,956.950012,956.950012,555080000
1998-01-27,956.950012,973.229980,956.260010,969.020020,969.020020,679140000
1998-01-28,969.020020,978.630005,969.020020,977.460022,977.460022,708470000
1998-01-29,977.460022,992.650024,975.210022,985.489990,985.489990,750760000
1998-01-30,985.489990,987.409973,979.630005,980.280029,980.280029,613380000
1998-02-02,980.280029,1002.479980,980.280029,1001.270020,1001.270020,724320000
1998-02-03,1001.270020,1006.130005,996.900024,1006.000000,1006.000000,692120000
1998-02-04,1006.000000,1009.520020,999.429993,1006.900024,1006.900024,695420000
1998-02-05,1006.900024,1013.510010,1000.270020,1003.539978,1003.539978,703980000
1998-02-06,1003.539978,1013.070007,1003.359985,1012.460022,1012.460022,569650000
1998-02-09,1012.460022,1015.330017,1006.280029,1010.739990,1010.739990,524810000
1998-02-10,1010.739990,1022.150024,1010.710022,1019.010010,1019.010010,642800000
1998-02-11,1019.010010,1020.710022,1016.380005,1020.010010,1020.010010,599300000
1998-02-12,1020.010010,1026.300049,1008.549988,1024.140015,1024.140015,611480000
1998-02-13,1024.140015,1024.140015,1017.710022,1020.090027,1020.090027,531940000
1998-02-17,1020.090027,1028.020020,1020.090027,1022.760010,1022.760010,605890000
1998-02-18,1022.760010,1032.079956,1021.700012,1032.079956,1032.079956,606000000
1998-02-19,1032.079956,1032.930054,1026.619995,1028.280029,1028.280029,581820000
1998-02-20,1028.280029,1034.209961,1022.690002,1034.209961,1034.209961,594300000
1998-02-23,1034.209961,1038.680054,1031.760010,1038.140015,1038.140015,550730000
1998-02-24,1038.140015,1038.729980,1028.890015,1030.560059,1030.560059,589880000
1998-02-25,1030.560059,1045.790039,1030.560059,1042.900024,1042.900024,611350000
1998-02-26,1042.900024,1048.680054,1039.849976,1048.670044,1048.670044,646280000
1998-02-27,1048.670044,1051.660034,1044.400024,1049.339966,1049.339966,574480000
1998-03-02,1049.339966,1053.979980,1044.699951,1047.699951,1047.699951,591470000
1998-03-03,1047.699951,1052.020020,1043.410034,1052.020020,1052.020020,612360000
1998-03-04,1052.020020,1052.020020,1042.739990,1047.329956,1047.329956,644280000
1998-03-05,1047.329956,1047.329956,1030.869995,1035.050049,1035.050049,648270000
1998-03-06,1035.050049,1055.689941,1035.050049,1055.689941,1055.689941,665500000
1998-03-09,1055.689941,1058.550049,1050.020020,1052.310059,1052.310059,624700000
1998-03-10,1052.310059,1064.589966,1052.310059,1064.250000,1064.250000,631920000
1998-03-11,1064.250000,1069.180054,1064.219971,1068.469971,1068.469971,655260000
1998-03-12,1068.469971,1071.869995,1063.540039,1069.920044,1069.920044,594940000
1998-03-13,1069.920044,1075.859985,1066.569946,1068.609985,1068.609985,597800000
1998-03-16,1068.609985,1079.459961,1068.609985,1079.270020,1079.270020,548980000
1998-03-17,1079.270020,1080.520020,1073.290039,1080.449951,1080.449951,680960000
1998-03-18,1080.449951,1085.520020,1077.770020,1085.520020,1085.520020,632690000
1998-03-19,1085.520020,1089.739990,1084.300049,1089.739990,1089.739990,598240000
1998-03-20,1089.739990,1101.040039,1089.390015,1099.160034,1099.160034,717310000
1998-03-23,1099.160034,1101.160034,1094.250000,1095.550049,1095.550049,631350000
1998-03-24,1095.550049,1106.750000,1095.550049,1105.650024,1105.650024,605720000
1998-03-25,1105.650024,1113.069946,1092.839966,1101.930054,1101.930054,676550000
1998-03-26,1101.930054,1106.280029,1097.000000,1100.800049,1100.800049,606770000
1998-03-27,1100.800049,1107.180054,1091.140015,1095.439941,1095.439941,582190000
1998-03-30,1095.439941,1099.099976,1090.020020,1093.599976,1093.599976,497400000
1998-03-31,1093.550049,1110.130005,1093.550049,1101.750000,1101.750000,674930000
1998-04-01,1101.750000,1109.189941,1095.290039,1108.150024,1108.150024,677310000
1998-04-02,1108.150024,1121.010010,1107.890015,1120.010010,1120.010010,674340000
1998-04-03,1120.010010,1126.359985,1118.119995,1122.699951,1122.699951,653880000
1998-04-06,1122.699951,1131.989990,1121.369995,1121.380005,1121.380005,625810000
1998-04-07,1121.380005,1121.380005,1102.439941,1109.550049,1109.550049,670760000
1998-04-08,1109.550049,1111.599976,1098.209961,1101.650024,1101.650024,616330000
1998-04-09,1101.650024,1111.449951,1101.650024,1110.670044,1110.670044,548940000
1998-04-13,1110.670044,1110.750000,1100.599976,1109.689941,1109.689941,564480000
1998-04-14,1109.689941,1115.949951,1109.479980,1115.750000,1115.750000,613730000
1998-04-15,1115.750000,1119.900024,1112.239990,1119.319946,1119.319946,685020000
1998-04-16,1119.319946,1119.319946,1105.270020,1108.170044,1108.170044,699570000
1998-04-17,1108.170044,1122.719971,1104.949951,1122.719971,1122.719971,672290000
